Image_Path, Object Name, Index
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f81f0317a074ffba17df4.jpg, elixer_collector, 0
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f81f0317a074ffba17df4.jpg, elixer_collector, 1
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f81f0317a074ffba17df4.jpg, elixer_collector, 2
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f81f0317a074ffba17df4.jpg, elixer_collector, 3
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f81f0317a074ffba17df4.jpg, elixer_collector, 4
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f81f0317a074ffba17df4.jpg, elixer_collector, 5
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f8624317a074ffba17dfd.jpg, elixer_collector, 6
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f8624317a074ffba17dfd.jpg, elixer_collector, 7
D:\GitHub\coc_bot\src\base_downloader\layouts\th6\5d4f8624317a074ffba17dfd.jpg, elixer_collector, 8
D:\GitHub\coc_bot\src\base_downloader\layouts\th3\5d56725f51dc206dd7face1a.jpg, elixer_collector, 9
D:\GitHub\coc_bot\src\base_downloader\layouts\th3\5d56725f51dc206dd7face1a.jpg, elixer_collector, 10
D:\GitHub\coc_bot\src\base_downloader\layouts\th3\5d56725f51dc206dd7face1a.jpg, elixer_collector, 11
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56758b51dc206dd7face29.jpg, elixer_collector, 12
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56758b51dc206dd7face29.jpg, elixer_collector, 13
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56758b51dc206dd7face29.jpg, elixer_collector, 14
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56758b51dc206dd7face29.jpg, elixer_collector, 15
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56758b51dc206dd7face29.jpg, elixer_collector, 16
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d5675f651dc206dd7face2c.jpg, elixer_collector, 17
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d5675f651dc206dd7face2c.jpg, elixer_collector, 18
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d5675f651dc206dd7face2c.jpg, elixer_collector, 19
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d5675f651dc206dd7face2c.jpg, elixer_collector, 20
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d5675f651dc206dd7face2c.jpg, elixer_collector, 21
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56772f51dc206dd7face38.jpg, elixer_collector, 22
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56772f51dc206dd7face38.jpg, elixer_collector, 23
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56772f51dc206dd7face38.jpg, elixer_collector, 24
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56772f51dc206dd7face38.jpg, elixer_collector, 25
D:\GitHub\coc_bot\src\base_downloader\layouts\th5\5d56772f51dc206dd7face38.jpg, elixer_collector, 26
